plot_ID,name
C1C,FC1-center
C3C,FC2-center
C3E,FC2-rim
C3T,FC2-trough
TC,FC3-center
Z210C,FC4-center
Z210E,FC4-rim
Z210T,FC4-trough
B3C,HC1-center
B3E,HC1-rim
B3T,HC1-trough
H3C,HC2-center
Z53C,HC3-center
Z53T,HC3-trough
A1C,LC1-center
A1E,LC1-rim
A1T,LC1-trough
Z415C,LC4-center
A3C,LC2-center
A4C,LC3-center
A4T,LC3-trough
