name,year.AD,Delta14C_permil
IntCal13_interpolated,1911,-7.520780418
IntCal13_interpolated,1912,-7.941885582
IntCal13_interpolated,1913,-8.365558217
IntCal13_interpolated,1914,-8.803389296
IntCal13_interpolated,1915,-9.266969788
IntCal13_interpolated,1916,-9.763196002
IntCal13_interpolated,1917,-10.28018559
IntCal13_interpolated,1918,-10.80136154
IntCal13_interpolated,1919,-11.31014684
IntCal13_interpolated,1920,-11.78996449
IntCal13_interpolated,1921,-12.22928948
IntCal13_interpolated,1922,-12.63680488
IntCal13_interpolated,1923,-13.02624574
IntCal13_interpolated,1924,-13.41134715
IntCal13_interpolated,1925,-13.80584417
IntCal13_interpolated,1926,-14.21928028
IntCal13_interpolated,1927,-14.64443255
IntCal13_interpolated,1928,-15.06988645
IntCal13_interpolated,1929,-15.48422746
IntCal13_interpolated,1930,-15.87604105
IntCal13_interpolated,1931,-16.23825196
IntCal13_interpolated,1932,-16.58114189
IntCal13_interpolated,1933,-16.91933183
IntCal13_interpolated,1934,-17.26744273
IntCal13_interpolated,1935,-17.64009558
IntCal13_interpolated,1936,-18.04826843
IntCal13_interpolated,1937,-18.48836771
IntCal13_interpolated,1938,-18.95315694
IntCal13_interpolated,1939,-19.43539964
IntCal13_interpolated,1940,-19.92785933
IntCal13_interpolated,1941,-20.42389927
IntCal13_interpolated,1942,-20.91928172
IntCal13_interpolated,1943,-21.41036868
IntCal13_interpolated,1944,-21.89352215
IntCal13_interpolated,1945,-22.36510413
IntCal13_interpolated,1946,-22.8225907
IntCal13_interpolated,1947,-23.26791427
IntCal13_interpolated,1948,-23.70412133
IntCal13_interpolated,1949,-24.13425836
IntCal13_interpolated,1950,-24.56137186
gapfill.1,1951,-24.5
gapfill.1,1952,-24.5
gapfill.1,1953,-24.5
gapfill.1,1954,-24.5
gapfill.1,1955,-24.5
gapfill.1,1956,-24.5
gapfill.1,1957,-24.5
gapfill.1,1958,153.7
gapfill.1,1959,331.9
gapfill.1,1960,510.1
gapfill.1,1961,688.3
gapfill.1,1962,866.5
Fruholmen,1963,941.2
Fruholmen,1964,943.3
Fruholmen,1965,808.2
Fruholmen,1966,720.6
Fruholmen,1967,673.15
Fruholmen,1968,613.8
Fruholmen,1969,575.7
Fruholmen,1970,560.6
Fruholmen,1971,544.5
Fruholmen,1972,481.3
Fruholmen,1973,465.7
Fruholmen,1974,430.1
Fruholmen,1975,392.5
Fruholmen,1976,362.4
Fruholmen,1977,349.7
Fruholmen,1978,339.6
Fruholmen,1979,310.5
Fruholmen,1980,281.4
Fruholmen,1982,240
Fruholmen,1983,240.75
Fruholmen,1984,223.4
Fruholmen,1985,208.5333333
Fruholmen,1986,196.0571429
Fruholmen,1987,189.525
Fruholmen,1988,179.35
Fruholmen,1989,161.95
Fruholmen,1990,158.8
Fruholmen,1991,145.55
Fruholmen,1992,137
gapfill.2,1993,128.8828531
gapfill.2,1994,121.1089651
gapfill.2,1995,113.8039783
gapfill.2,1996,106.9396099
gapfill.2,1997,100.4892829
