plot_ID,layer_top,layer_bot,mass_drysoil_g
A1C,0,14,52.3
A1C,14,30,8
A1E,0,14,27.9
A1E,14,35,22
B3C,6,32,20.5
B3E,0,14,24.3
B3E,14,31,13.7
B3T,0,7,4
B3T,7,27,68.7
B3T,27,37,26.3
C3C,0,8,51.6
C3C,8,26,75.4
C3C,26,39,36.3
C3E,0,6,4.1
C3E,6,11,11.6
C3E,11,33,40
C3T,0,30,3.4
Z210C,0,6,4.3
Z210C,6,20,38.5
Z210C,20,34,21.8
Z210E,0,5,2.5
Z210E,5,14,34.9
Z210E,14,21,15.1
Z53C,0,13,12.8
Z53C,13,27,10.8
